,title,address,latitude,longitude,retailer_type
191,Big Farm Mex Produce,2100 Amsterdam Ave.,40.837348,-73.938767,Grocery stores
192,Thrifty Deli Supermarket,3149 Broadway,40.814331,-73.959455,Grocery stores
193,"Ricky Fruits, Vegetables & More",3804 Broadway,40.834902,-73.944138,Grocery stores
194,Garden of Eden,2780 Broadway,40.802196,-73.967675,Grocery stores
195,Amor Deli Grocery,21 Convent Ave.,40.813563,-73.953115,Grocery stores
196,Easy 602 Food,3371 Broadway,40.821174,-73.954427,Grocery stores
197,Evergreen Moe,600 W. 160th St.,40.835974,-73.943601,Grocery stores
198,Two Rivers Deli-Grocery,1948 Amsterdam Ave.,40.83257,-73.942254,Grocery stores
199,Los Amigos Food,1055 St. Nicholas Ave.,40.836987,-73.940135,Grocery stores
200,Columbia 1 Market,20 Old Broadway,40.815473,-73.957086,Grocery stores
201,Gallardo Minimarket,3478 Broadway,40.824372,-73.951828,Grocery stores
202,2002 Brother Deli Grocery,507 W. 159th St.,40.834188,-73.941292,Grocery stores
203,Super Food Town,600 W. 160th St.,40.835974,-73.943601,Grocery stores
204,Columbus Foodmarket,71-81 W. 104th St.,40.797561,-73.962986,Grocery stores
205,KSY Mini Market,996 Amsterdam Ave.,40.802574,-73.964146,Grocery stores
206,Camilo Rosado Deli Grocery,2003 Amsterdam Ave.,40.834248,-73.941028,Grocery stores
207,A.L. Broadway Grocery,3770 Broadway,40.833877,-73.944898,Grocery stores
208,840 St. Nicholas Food Market,840 St. Nicholas Ave.,40.828826,-73.942196,Grocery stores
209,Gristedes 601,2704 Broadway,40.799259,-73.968342,Grocery stores
210,Avi Deli Grocery,1954 Amsterdam Ave.,40.832721,-73.942144,Grocery stores
211,Pelaez Produce,3557 Broadway,40.826929,-73.950206,Grocery stores
212,Felo Deli Grocery,23 W. 100th St.,40.794605,-73.963836,Grocery stores
213,Caribbean Friend Food Corp,3462 Broadway,40.82411,-73.952015,Grocery stores
214,Morton Williams University Supermarket,2941 Broadway,40.80762,-73.964316,Grocery stores
215,Juana Grocery,150 Manhattan Ave.,40.799127,-73.961115,Grocery stores
216,Sam Gourmet Deli & Grocery,3459 Broadway,40.823739,-73.95254,Grocery stores
217,Eddy Food Center,2108 Amsterdam Ave.,40.837648,-73.938551,Grocery stores
218,Westside Fruits & Vegetables,900 Amsterdam Ave.,40.799233,-73.966602,Grocery stores
219,Sons Fresh Produce,3349 Broadway,40.82049,-73.954917,Grocery stores
220,844 Deli Grocery,844 Amsterdam Ave.,40.797414,-73.967923,Grocery stores
221,ZZ Deli Grocery,1753 Amsterdam Ave.,40.826424,-73.946738,Grocery stores
222,Suhail Deli & Grocery,1536 Amsterdam Ave.,40.81946,-73.951829,Grocery stores
223,PapaSito Foodmarkets,3605 Broadway,40.828673,-73.948937,Grocery stores
224,H Mart,2828 Broadway,40.803895,-73.966782,Grocery stores
225,Central Markets,220 Manhattan Ave.,40.800781,-73.959917,Grocery stores
227,Antillana SuperFood Marketplace,3900 Broadway,40.837965,-73.941906,Grocery stores
228,Jose Deli Grocery,1881 Amsterdam Ave.,40.830383,-73.943847,Grocery stores
229,O & B Ranch Deli Grocery,559 W. 158th St.,40.83452,-73.944042,Grocery stores
230,Savory Food & Grill,1814 Amsterdam Ave.,40.828298,-73.945371,Grocery stores
231,4 Brothers Food Market,1712 Amsterdam Ave.,40.824981,-73.947795,Grocery stores
232,Paquteria,3480 Broadway,40.824665,-73.951613,Grocery stores
233,Whole Foods Market,808 Columbus Ave.,40.795151,-73.965851,Grocery stores
234,Key Food,755 Amsterdam Ave.,40.794578,-73.969986,Grocery stores
235,C Town,3632 Broadway,40.829366,-73.948168,Grocery stores
236,Kassim Food Market,1795 Amsterdam Ave.,40.82767,-73.945823,Grocery stores
237,Compare Foods,538 W. 138th St.,40.821865,-73.953305,Grocery stores
238,Foodtown,1316 Amsterdam Ave.,40.812259,-73.957088,Grocery stores
239,Freshy's Deli & Grocery,941 Columbus Ave.,40.799394,-73.962754,Grocery stores
241,Riverside Gourmet Market,3779 Broadway,40.833719,-73.945268,Grocery stores
242,Santiago Food Center,3680 Broadway,40.830895,-73.947057,Grocery stores
243,3484 Broadway Mini Market,3484 Broadway,40.824674,-73.951606,Grocery stores
244,Marcos Grocery & Deli,900 Riverside Drive,40.838297,-73.946282,Grocery stores
245,Saeed Deli Grocery,1734 Amsterdam Ave.,40.825801,-73.947189,Grocery stores
246,C Town,560 W. 125th St.,40.814783,-73.957547,Grocery stores
247,Los Vecinos Mini Market,3518 Broadway,40.825601,-73.950916,Grocery stores
248,West Side Supermarkets,2840 Broadway,40.804389,-73.966423,Grocery stores
249,Associated Supermarket,13-15 W. 100th St.,40.794467,-73.963507,Grocery stores
250,Broadway Wholesome Food,3578 Broadway,40.827497,-73.949548,Grocery stores
251,3875 MH Deli Grocery,3875 Broadway,40.837109,-73.942791,Grocery stores
252,Host Deli & Grocery,880 Amsterdam Ave.,40.79861,-73.967056,Grocery stores
253,Mercadito Grocery,3814 Broadway,40.835123,-73.943972,Grocery stores
254,Savory Deli & Grocery 1,1840 Amsterdam Ave.,40.829121,-73.944773,Grocery stores
255,Key Food,421 W. 125th St.,40.811994,-73.955066,Grocery stores
256,Nuez Deli Grocery,1484 Amsterdam Ave.,40.817824,-73.953027,Grocery stores
257,Dylans Delicious Deli Grocery,900 Riverside Drive,40.838297,-73.946282,Grocery stores
258,Milano Market,2892 Broadway,40.805828,-73.965361,Grocery stores
259,91 Catherine Grocery,91 Hamilton Pl.,40.823238,-73.950316,Grocery stores
260,C Town,3320 Broadway,40.8197,-73.95524,Grocery stores
261,Shop Fair,3871 Broadway,40.836855,-73.942971,Grocery stores
