title,address,latitude,longitude,retailer_type,,,
Broad Fish Market,3519 Broadway,40.825947,-73.950921,Grocery stores,,,grocery/produce; they do sell the fish fresh (not just cooked)
Pueblo Magico Grocery,500 W. 146th St.,40.825905,-73.947112,Grocery stores,,,
Key Food Supermarkets,3550 Broadway,40.826838,-73.950032,Grocery stores,,,
Henriquez Grocery Store,500 W. 135th St.,40.818921,-73.952226,Grocery stores,,,
Manuels Grocery,3675 Broadway,40.83088,-73.9473,Grocery stores,,,
Frutera El Buen Camino,3888 Broadway,40.837387,-73.942328,Grocery stores,,,
Amsterdam Fresh Store,1701 Amsterdam Ave.,40.824713,-73.94799,Grocery stores,,,
Familia Fruit Market,3430 Broadway,40.823019,-73.952813,Grocery stores,,,
Amsterdam Minimarket,1836 Amsterdam Ave.,40.828972,-73.944883,Grocery stores,,,
Appletree Market,1225 Amsterdam Ave.,40.809581,-73.959041,Grocery stores,,,
4 Brothers Food Market And Deli,1717 Amsterdam Ave.,40.825112,-73.947698,Grocery stores,,,
Rivera Fruits & Vegetables,2011 Amsterdam Ave.,40.834485,-73.940852,Grocery stores,,,
Thrifty Deli Supermarket,3149 Broadway,40.814331,-73.959455,Grocery stores,,,
"Ricky Fruits, Vegetables & More",3804 Broadway,40.834902,-73.944138,Grocery stores,,,
Garden of Eden Marketplace,2780 Broadway,40.802196,-73.967675,Grocery stores,,,
Super Foodtown of Washington Heights,600 W. 160th St.,40.835974,-73.943601,Grocery stores,,,
Los Amigos Food Deli,1055 St. Nicholas Ave.,40.836987,-73.940135,Grocery stores,,,
Gallardo Minimarket,3478 Broadway,40.824372,-73.951828,Grocery stores,,,
Columbus Foodmarket,71-81 W. 104th St.,40.797561,-73.962986,Grocery stores,,,
KSY Mini Market,996 Amsterdam Ave.,40.802574,-73.964146,Grocery stores,,,
Felo Deli Grocery,23 W. 100th St.,40.794605,-73.963836,Grocery stores,,,
Caribbean Friend Food Corp,3462 Broadway,40.82411,-73.952015,Grocery stores,,,
Morton Williams University Supermarket,2941 Broadway,40.80762,-73.964316,Grocery stores,,,
Juana Grocery,150 Manhattan Ave.,40.799127,-73.961115,Grocery stores,,,
Sam Gourmet Deli & Grocery,3459 Broadway,40.823739,-73.95254,Grocery stores,,,
Eddy Food Center,2108 Amsterdam Ave.,40.837648,-73.938551,Grocery stores,,,
Son's Fresh Produce,3349 Broadway,40.82049,-73.954917,Grocery stores,,,
844 Deli Grocery,844 Amsterdam Ave.,40.797414,-73.967923,Grocery stores,,,
ZZ Deli Grocery,1753 Amsterdam Ave.,40.826424,-73.946738,Grocery stores,,,
Suhail Deli Grocery,1536 Amsterdam Ave.,40.81946,-73.951829,Grocery stores,,,
PapaSito Foodmarkets,3605 Broadway,40.828673,-73.948937,Grocery stores,,,
H Mart,2828 Broadway,40.803895,-73.966782,Grocery stores,,,
Central Markets,220 Manhattan Ave.,40.800781,-73.959917,Grocery stores,,,
