,County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,Address.Line.2,Address.Line.3,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery
100,New York,728569,Store,JAC,A.L. BROADWAY GROCERY CORP,A.L. BROADWAY GROCERY,3770,BROADWAY,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,True
101,New York,737928,Store,JAC,MORNINGSIDE DELI INC,MORNINGSIDE DELI,256,MANHATTEN AVE,,,NEW YORK,NY,10026,0,7,51417190.86,50149.62606,False
102,New York,720146,Store,JAC,STAR ONE DELI AND SALAD BAR CORP,STAR ONE DELI SALAD BAR,1800,AMSTERDAM AVE.,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
103,New York,748904,Store,A,BROADWAY MART 2708 INC,BROADWAY MART,2708,BROADWAY,,,NEW YORK,NY,10025,2000,7,51417190.86,50149.62606,False
104,New York,745362,Store,A,HEIGHTS GROCERY INC,HEIGHTS GROCERY,3801,BROADWAY,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,False
105,New York,727236,Store,JAC,SEAFOOD KING FISH MARKET INC,SEAFOOD KING FISH MARKE,3903-3905,BROADWAY,,,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,False
106,New York,624595,Store,JAC,840 ST NICHOLAS FOOD CORP,840 ST NICHOLAS FD MKT,840,ST NICHOLAS AVE,,,NEW YORK,NY,10031,1700,7,51417190.86,50149.62606,True
107,New York,726097,Store,JAC,1514 SMART GOURMET INC,1514 SMART GOURMET,1514,AMSTERDAM AVENUE,,,NEW YORK,NY,10031,1000,7,51417190.86,50149.62606,False
108,New York,626294,Store,JAC,GANADA CORP,KIMS FISH MARKET,201,W 104TH ST,,,NEW YORK,NY,10025,600,7,51417190.86,50149.62606,False
109,New York,625936,Store,JABC,NAMDOR INC,GRISTEDES 601,2704,BROADWAY,,,NEW YORK,NY,10025,17000,7,51417190.86,50149.62606,True
110,New York,741559,Store,JAC,AVI DELI GROCERY INC,AVI DELI GROCERY,1954,AMSTERDAM AVE,,,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,True
111,New York,743240,Store,A,HUDSON CANDY AND GROCERY CORP,HUDSON CANDY AND GROCER,600,W 161ST ST,,,NEW YORK,NY,10033,0,7,51417190.86,50149.62606,False
112,New York,714684,Store,JAC,CHUBBY HUBBY DELI CORP,CHUBBY HUBBY DELI,3350,BROADWAY #5,,,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,False
113,New York,737994,Store,A,BEST CANDY STORE INC,BEST CANDY STORE,3430,BROADWAY,,,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,False
