County,License.Number,Operation.Type,Establishment.Type,Entity.Name,DBA.Name,Street.Number,Street.Name,City,State,Zip.Code,Square.Footage,coun_dist,shape_area,shape_leng,grocery,min_cost_eggs,min_cost_milk,min_cost_chicken_breast_lb,min_cost_oranges,min_cost_salad,min_cost_bread_loaf
New York,733220,Store,JAC,SAM GOURMET DELI & GROCERY CORP,SAM GOURMET DELI & GROCERY,3459,BROADWAY,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,702461,Store,A,3 STAR DELI GROCERY INC,3 STAR DELI GROCERY,1045,ST NICHOLAS AVE,NEW YORK,NY,10032,1100,7,51417190.86,50149.62606,TRUE,,,,,,
New York,725385,Store,A,125 FOOD MART INC,125TH ST FOOD MART,521,WEST 125TH STREET,NEW YORK,NY,10027,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,728851,Store,JAC,EDDY FOOD CENTER CORP,EDDY FOOD CENTER,2108,AMSTERDAM AVE,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,739662,Store,JAC,WESTSIDE FRUITS & VEGETABLES INC,WESTSIDE FRUITS & VEGET,900,AMSTERDAM AVENUE,NEW YORK,NY,10025,1000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,729313,Store,A,AMERICAN DISCOUNT INC,AMERICAN DISCOUNT,2067,AMSTERDAM AVE,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,744702,Store,JAC,SONS FRESH PRODUCE 2 INC,SONS FRESH MARKET,3349,BROADWAY,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,715960,Store,JAC,844 DELI GROCERY INC,844 DELI GROCERY,844,AMSTERDAM AVE,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,736281,Store,JAC,ZZ DELI GROCERY CORP,ZZ DELI GROCERY,1753,AMSTERDAM AVE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,623155,Store,JAC,SUHAIL FADHL N,SUHAIL DELI&GROCERY,1536,AMSTERDAM AVE,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,705693,Store,JAC,ABC FOOD CENTER INC,PAPASITOS FOOD MARKET,3605,BROADWAY,NEW YORK,NY,10031,3000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,732757,Store,JAC,HANA MART COLUMBIA CORP,H MART,2828,BROADWAY,NEW YORK,NY,10025,6500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628594,Store,A,2732 CONVENIENCE GROCERY CORP,2732 CONVENIENCE GROCER,2732,BROADWAY,NEW YORK,NY,10025,525,7,51417190.86,50149.62606,TRUE,,,,,,
New York,625300,Store,JAC,BETTER FRUIT INC,CENTRAL MARKETS,220,MANHATTAN AVE,NEW YORK,NY,10025,10000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748731,Store,JAC,159 CONVENIENCE CORP,159 CONVENIENCE CORP,1995,"AMSTERDAM AVE, STE 4",NEW YORK,NY,10032,1600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,739696,Store,JAC,ANTILLANA SUPERFOOD MEAT CORP,ANTILLANA SUPERFOOD MARKET,3900,BROADWAY,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624218,Store,JAC,JOSE GROCERY CORP,JOSE DELI GROCERY,1881,AMSTERDAM AVE,NEW YORK,NY,10032,1600,7,51417190.86,50149.62606,TRUE,,,,,,
New York,717219,Store,JAC,O & B RANCH DELI GROCERY CORP,O & B RANCH DELI GROCER,559,W 158TH ST AKA 3800 BROADWAY,NEW YORK,NY,10032,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,745702,Store,JAC,SAVORY FOOD & GRILL INC,SAVORY FOOD & GRILL,1814,AMSTERDAM AVE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,732132,Store,JAC,4 BROTHERS FOOD MARKET & DELI INC,4 BROTHERS FOOD MARKET,1712,AMSTERDAM AVE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,745422,Store,JAC,PAQUTERIA TULCINGO DIAMINTE 2 INC,PAQUTERIA,3480,BROADWAY,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,628232,Store,JACK,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,808,COLUMBUS AVE,NEW YORK,NY,10025,58000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624289,Store,JAC,NUVE MIGUEL CORP,KEY FOOD,755,AMSTERDAM AVE,NEW YORK,NY,10025,7500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624928,Store,JAC,LUNA BROTHERS INC,C TOWN,3632,BROADWAY,NEW YORK,NY,10031,18000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,720834,Store,JAC,KASSIM FOOD MARKET CORP,KASSIM FOOD MARKET,1795,AMSTERDAM AVE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,627880,Store,JAC,EL GALLO MEAT MARKET INC,COMPARE FOODS,538,W 138TH ST,NEW YORK,NY,10031,15000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,741134,Store,JAC,1316 CORP,FOODTOWN,1316,AMSTERDAM AVENUE,NEW YORK,NY,10027,15000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,718827,Store,JAC,COLUMBUS GROCERS LLC,FRESHYS DELI & GROCERY,941,COLUMBUS AVE,NEW YORK,NY,10025,1650,7,51417190.86,50149.62606,TRUE,,,,,,
New York,724020,Store,JAC,1532 AMSTERDAM FOOD CORP,1532 AMSTERDAM  FOOD,1532,AMSTERDAM AVE,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,623190,Store,JAC,RIVERSIDE GOURMET MARKET INC,RIVERSIDE GOURMET MKT,3779,BROADWAY,NEW YORK,NY,10032,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,729281,Store,JAC,SANTIAGO FOOD CENTER INC,SANTIAGO FOOD CENTER,3680,BROADWAY,NEW YORK,NY,10031,650,7,51417190.86,50149.62606,TRUE,,,,,,
New York,621526,Store,JAC,3484 BROADWAY MINI MARKET INC,3484 BROADWAY MINI MKT,3484,BROADWAY,NEW YORK,NY,10031,1800,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748151,Store,JAC,MARCOS GROCERY & DELI INC,MARCOS GROCERY & DELI,900,RIVERSIDE DRIVE STORE #3,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,732823,Store,JAC,SAEED DELI GROCERY CORP,SAEED DELI GROCERY,1734,AMSTERDAM AVENUE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,627102,Store,JAC,560 WEST MEAT&PRODUCE CORP,C TOWN,560,W 125TH ST,NEW YORK,NY,10027,9000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,728953,Store,JAC,LOS VECINOS MINI MARKET INC,LOS VECINOS MINI MARKET,3518,BROADWAY,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,627530,Store,JABC,WS MARKETS LLC,WEST SIDE SUPERMARKETS,2840,BROADWAY,NEW YORK,NY,10025,20000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,623254,Store,JAC,JKJ CORP,ASSOCIATED SUPERMARKET,13-15,W 100TH ST,NEW YORK,NY,10025,18000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,722276,Store,JAC,GHANSHYAM 2 DELI & GROCERY INC,BROADWAY WHOLESOME FOOD,3578,BROADWAY,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,629196,Store,JAC,3875 MH DELI GROCERY INC,3875 MH DELI GROCERY,3875,BROADWAY,NEW YORK,NY,10032,1200,7,51417190.86,50149.62606,TRUE,,,,,,
New York,731960,Store,JAC,HASSAN MUBARAK A,HOST DELI & GROCERY,880,AMSTERDAM AVENUE,NEW YORK,NY,10025,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,721378,Store,JAC,MERCADITO DEL CIBAO CORP,MERCADITO GROCERY,3814,BROADWAY,NEW YORK,NY,10032,1500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,748339,Store,JAC,SAVORY DELI & GROCERY 1 INC,SAVORY DELI & GROCERY 1,1840,AMSTERDAM AVE,NEW YORK,NY,10031,2000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,711853,Store,JAC,HARLEM 421 FOOD CORP,KEY FOOD,421,W 125TH ST,NEW YORK,NY,10027,6400,7,51417190.86,50149.62606,TRUE,,,,,,
New York,737349,Store,JAC,NUEZ DELI GROCERY CORP,NUEZ DELI GROCERY,1484,AMSTERDAM AVE,NEW YORK,NY,10031,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,721382,Store,A,UPPER WEST CANDY GROCERY INC,UPPER WEST CANDY GROCERY,2618,BROADWAY,NEW YORK,NY,10025,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,731926,Store,JAC,DYLANS DELICIOUS DELI GROCERY COR,DYLANS DELICIOUS DELI GROCERY,900,RIVERSIDE DRIVE,NEW YORK,NY,10032,0,7,51417190.86,50149.62606,TRUE,,,,,,
New York,624394,Store,JAC,MILANO MARKET INC,MILANO MARKET,2892,BROADWAY,NEW YORK,NY,10025,3000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,627088,Store,JAC,91 CATHERINE GROCERY CORP,91 CATHERINE GROCERY,91,HAMILTON PL,NEW YORK,NY,10031,1500,7,51417190.86,50149.62606,TRUE,,,,,,
New York,621015,Store,JAC,3011 GROCERY INC,C TOWN,3320,BROADWAY,NEW YORK,NY,10031,20000,7,51417190.86,50149.62606,TRUE,,,,,,
New York,708796,Store,JAC,KING MEAT CORP,SHOP FAIR,3871,BROADWAY,NEW YORK,NY,10032,15000,7,51417190.86,50149.62606,TRUE,,,,,,
